name,url,description
"DINER BROS. NOVI SAD","https://rs.gaultmillau.com/en/restaurants/diner-bros--novi-sad","Diner Bros combines Chicago’s burger culture with quality local ingredients, premium beef, clean flavors, and signature house sauces in a fast-paced, unpretentious setting. From breakfast and appetizers, through tacos and nachos, the menu leads to burgers as the center of the offer - classic and Smash, with a serious dose of cheese, but also in a vegan version with Beyond “meat” and vegan cheddar. The American influence is further defined by an authentic Philly Cheesesteak and a pizza program featuring Chicago, New York, and Detroit styles - perfect for those seeking a hearty, elevated street-food experience. They also have T-bones, steak, pork shank and chicken wings. Comfort, speed, and substance. Straight to the point."
"THE CAMELOT NOVI SAD","https://rs.gaultmillau.com/en/restaurants/the-camelot","The Camelot is a gastro-pub and restaurant in the center of Novi Sad that places food and drinks in an environment inspired by the legends of Camelot. They are famous for their craft beer, light, dark and red, poured from a copper tap, accompanied by an extensive drink list. The menu combines international and local influences - Vojvodina meze with prosciutto, kulen, kajmak and cheeses, beer-braised ribs and sausages, and salad meal - or pork shanks on sauerkraut for guests that want a more filling dish. The offer also includes pasta with recognizable names, Vitez, Soko, Konjanik and Mač, which round off the identity of the place that functions as a place where atmosphere, beer and a serious portion meet naturally."
"ŠADRVAN ROŠTILJ KOD JONUZA","https://rs.gaultmillau.com/en/restaurants/rostilj-sadrvan-kod-jonuza","Located at the start of the Novi Pazar corzo, Kod Jonuza boasts an eighty-year tradition as the premier destination for authentic Pazar ćevapi. Following an original recipe, these signature bites are perfectly juicy, soft, and flavorful. Served in a traditional bun, they are best enjoyed with diced onions, chili flakes, kajmak, or marinated cheese, paired harmoniously with cow’s or sheep’s sour milk. Open 24/7, the menu also features sujuk, steak, and burgers. To finish, indulge in classic oriental delicacies like baklava, urmašica, and tulumba."
"IZLET","https://rs.gaultmillau.com/en/restaurants/izlet","Izlet is a romantic corner in the middle of the Dunavski Park and a favorite place to start the day, have an afternoon coffee or an evening break. The aroma of fresh coffee and irresistible cinnamon rolls greets you as you enter, and on sunny days the entire park becomes an extended garden. Coffee is served with freshly squeezed juices, crispy croissants with ham or pistachios, and also Pastel de nata. The aesthetics of the cups, great service and attention to detail contribute to the recognizable identity of the place. Effortlessly simple for everyday visits, yet authentic enough to become a fast favorite. In short, it is a cozy, relaxed sanctuary defined by its genuine aesthetic and cosmopolitan spirit."
"KRIVINA","https://rs.gaultmillau.com/en/restaurants/krivina","Krivina is a city-scene staple wine shop and bar the go-to address for carefully selected gifts for hedonists. They offer a wide selection of local and imported wine labels, spirits, craft beer and premium chocolates. A solid selection of wines by the glass and sommeliers await you at the bar, as well as food and wine pairings. The kitchen is designed as a natural extension of the bar concept - from breakfast and small bites, through specialties such as crackling spread, grilled Miroč cheese and meat charcuterie board, to robust dishes such as steak tartare or fried veal shanks. The menu is meticulously paired to the glass and the rhythm of the bar, offering a curated selection of bites designed for pure pleasure."
"PETRUS","https://rs.gaultmillau.com/en/restaurants/petrus-caffe-gallery-bar","After a leisurely stroll in the Danube Park and the historic center of Novi Sad, Petrus awaits as a grand sanctuary of high elegance. This impressively designed space offers a menu so versatile it satisfies the most discerning palates. For a light, nutritional break, the smoked salmon toast is a masterclass in freshness - featuring creamy avocado, sharp capers, red onion and a vibrant nest of arugula and cherry tomatoes on perfectly toasted bread. If, on the other hand, you started your walk in Petrovaradin and you need extra energy boost, the aromatic chicken with gnocchi in Parmesan and sour cream sauce is an excellent choice. A robust dish that balances light grilled chicken and an intense Parmesan sauce, with carbohydrates in the form of soft, aromatic gnocchi. If you are just starting your walk and it is still morning, a wide selection is available for breakfast. In addition to the classic English breakfast, there is also an omelette, scrambled eggs or scrambled eggs with side dishes of your choice, as well as sandwiches and granola. For particularly picky eaters, there is also a rich selection of fish, meat, burgers, beef, pork, veal, turkey, pasta, risotto, soups and stews, as well as ice cream, cakes, and pancakes."
"SOKAČE","https://rs.gaultmillau.com/en/restaurants/restoran-soka%C4%8Ce","Sokače is a restaurant with tradition and hospitality that encompasses service, experience of the table and a full, homely taste. The warm interior is filled with details from past times and photographs of famous guests. The menu remains faithful to traditional cuisine and authentic, almost forgotten flavors, with a wide range of dishes. A showcase with fresh meat prepared to order is an introduction to a serious barbecue repertoire. The menu is also based on homemade pies, gibanica and cornbread, kajmak, cheeses, cold appetizers and spreads, soups, dishes under sač and cooked classics with regional accents from the south and east of Serbia. The character of the house is shown well in order - pepper cream soup, roasted pepper on kajmak, baked beans, vine leaf rolls with sour milk, ajmokac, lamb kapama, wedding cabbage and smoked pork shank. Desserts include fresh baklava with thin crusts, homemade dumplings with several types of jam, tufahija, floating island or vanilla slice. In the evening, they have live tamburica music. Your departure is marked by a final gesture of warmth: a house-made vanilica cookies and raspberry liqueur."
"VIDA","https://rs.gaultmillau.com/en/restaurants/vida","Vida combines a bright, natural ambience with a menu that supports the light, urban rhythm of the day. Coffee in a cone remains their trademark, and the novelty is to-go cans with squeezed juices or your favorite coffee for the road. Homemade sandwiches, tortillas and smoothie bowls are served for breakfast and brunch, while burgers, pizzas and Mediterranean and Latin American colorful bowls arrive for lunch. The sweet part of the menu consists of protein pancakes, raw cakes and homemade ice cream, and Iced Moringa brings a discreet herbal freshness to the beverage offer. The entire concept is rounded off by fine details, from bamboo straws to materials that follow modern standards of space and food care."
"KUĆA MALA","https://rs.gaultmillau.com/en/restaurants/ku%C4%86a-mala","Kuća Mala is a restaurant-pizzeria and cafe located in the city center. It builds its identity with pizzas as small gastronomic travelogues, from the Mediterranean to South America. Greek corner with feta cheese and Mediterranean spices, Hungarian Čardaš with pepperoni and kulen, Swiss lampshade with Emmental, Mexican garden that combines peanuts, corn and olives are a temptation for gourmets. In addition to pizzas, the menu also includes pasta, lasagna, rich salads and meatballs, in a comfortable cuisine that combines Italian basics and local sensibility. The trademark of the summer garden is their homemade sangria, while desserts such as dumplings, fruit pies and pancakes take you back to tradition."
"PUBERAJ","https://rs.gaultmillau.com/en/restaurants/puberaj","PUBeraj is a contemporary and modern bar, recognizable for its relaxed atmosphere, good music and landscaped urban garden. PUBeraj offers a rich selection of drinks and original cocktails, and a menu that goes beyond the classic bar snack. The Burgeraj section stands out, as do the main chicken dishes, including Kevin’s lunch - fried chicken breast with spinach- which evokes the atmosphere of traditional Sunday lunches. The offer is complemented by vegetarian Wiener Schnitzel, tortillas and a variety of salads, equally adapted to the living room and evening gatherings. PUBeraj functions as a place where drinks, food and atmosphere naturally connect, in a space intended for informal socializing and a relaxed stay."
